Short Name,Long Name,Global ID
178,01+.West.100,1EcnkFUEX4Ghhefn8c675Q
179,01+.West.110,1EcnkFUEX4Ghhefn8c675T
180,01+.West.120,1EcnkFUEX4Ghhefn8c675S
181,01+.West.130,1EcnkFUEX4Ghhefn8c675V
182,01+.West.140,1EcnkFUEX4Ghhefn8c675U
183,01+.West.150,1EcnkFUEX4Ghhefn8c675H
184,01+.West.180,1EcnkFUEX4Ghhefn8c675G
185,01+.West.200,1EcnkFUEX4Ghhefn8c675J
186,01+.West.210,1EcnkFUEX4Ghhefn8c675I
187,01+.West.220,1EcnkFUEX4Ghhefn8c675L
188,01+.West.230,1EcnkFUEX4Ghhefn8c675K
189,01+.West.240,1EcnkFUEX4Ghhefn8c675N
190,01+.West.250,1EcnkFUEX4Ghhefn8c675M
191,01+.West.300,1EcnkFUEX4Ghhefn8c6759
192,01+.West.320,1EcnkFUEX4Ghhefn8c6758
193,01+.West.370,1EcnkFUEX4Ghhefn8c675B
194,01+.West.410,1EcnkFUEX4Ghhefn8c675A
195,01+.West.550,1EcnkFUEX4Ghhefn8c675D
196,01+.West.610,1EcnkFUEX4Ghhefn8c675C
197,01+.West.630,1EcnkFUEX4Ghhefn8c675F
198,01+.West.650,1EcnkFUEX4Ghhefn8c675E
199,01+.West.670,1EcnkFUEX4Ghhefn8c6751
200,01+.West.690,1EcnkFUEX4Ghhefn8c6750
201,01+.West.801,1EcnkFUEX4Ghhefn8c6753
202,01+.West.802,1EcnkFUEX4Ghhefn8c6752
203,01+.West.803,1EcnkFUEX4Ghhefn8c6755
204,01+.West.804,1EcnkFUEX4Ghhefn8c6754
206,01+.West.850,1EcnkFUEX4Ghhefn8c6756
213,01+.West.866,1EcnkFUEX4Ghhefn8c675$
215,02.Mid.010,1EcnkFUEX4Ghhefn8c675n
216,02.Mid.040,1EcnkFUEX4Ghhefn8c675m
217,02.Mid.050,1EcnkFUEX4Ghhefn8c675p
218,02.Mid.100,1EcnkFUEX4Ghhefn8c675o
219,02.Mid.110,1EcnkFUEX4Ghhefn8c675r
223,02.Oost.010,1EcnkFUEX4Ghhefn8c675f
224,02.Oost.170,1EcnkFUEX4Ghhefn8c675e
225,02.Oost.180,1EcnkFUEX4Ghhefn8c675h
226,02.Oost.200,1EcnkFUEX4Ghhefn8c675g
227,02.Oost.240,1EcnkFUEX4Ghhefn8c675j
228,02.Oost.300,1EcnkFUEX4Ghhefn8c675i
229,02.Oost.310,1EcnkFUEX4Ghhefn8c675l
230,02.Oost.321,1EcnkFUEX4Ghhefn8c675k
231,02.Oost.370,1EcnkFUEX4Ghhefn8c675X
232,02.Oost.380,1EcnkFUEX4Ghhefn8c675W
233,02.Oost.400,1EcnkFUEX4Ghhefn8c675Z
234,02.Oost.470,1EcnkFUEX4Ghhefn8c675Y
235,02.Oost.500,1EcnkFUEX4Ghhefn8c675b
236,02.Oost.510,1EcnkFUEX4Ghhefn8c675a
237,02.Oost.530,1EcnkFUEX4Ghhefn8c675d
238,02.Oost.600,1EcnkFUEX4Ghhefn8c675c
239,02.Oost.700,1EcnkFUEX4Ghhefn8c674P
240,02.Oost.801,1EcnkFUEX4Ghhefn8c674O
241,02.Oost.804,1EcnkFUEX4Ghhefn8c674R
243,02.Oost.854,1EcnkFUEX4Ghhefn8c674T
244,02.Oost.859,1EcnkFUEX4Ghhefn8c674S
245,02.West.010,1EcnkFUEX4Ghhefn8c674V
246,02.West.030,1EcnkFUEX4Ghhefn8c674U
247,02.West.040,1EcnkFUEX4Ghhefn8c674H
248,02.West.050,1EcnkFUEX4Ghhefn8c674G
249,02.West.060,1EcnkFUEX4Ghhefn8c674J
251,02.West.100,1EcnkFUEX4Ghhefn8c674L
252,02.West.110,1EcnkFUEX4Ghhefn8c674K
253,02.West.130,1EcnkFUEX4Ghhefn8c674N
254,02.West.200,1EcnkFUEX4Ghhefn8c674M
255,02.West.300,1EcnkFUEX4Ghhefn8c6749
256,02.West.320,1EcnkFUEX4Ghhefn8c6748
257,02.West.350,1EcnkFUEX4Ghhefn8c674B
258,02.West.380,1EcnkFUEX4Ghhefn8c674A
259,02.West.430,1EcnkFUEX4Ghhefn8c674D
260,02.West.500,1EcnkFUEX4Ghhefn8c674C
261,02.West.550,1EcnkFUEX4Ghhefn8c674F
262,02.West.560,1EcnkFUEX4Ghhefn8c674E
263,02.West.600,1EcnkFUEX4Ghhefn8c6741
264,02.West.610,1EcnkFUEX4Ghhefn8c6740
265,02.West.630,1EcnkFUEX4Ghhefn8c6743
266,02.West.650,1EcnkFUEX4Ghhefn8c6742
